Region,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Amazonas, 71.5, 74.7, 67.6, 58.1, 59.1, 56.3, 50.5, 44.6,44.5,47.3
Ancash,62.2, 55.3, 43.4, 41.8, 34.9, 30.3, 27.1, 27.2,27.4,23.5
Apurimac, 70.4, 74.5, 70.6, 71.4, 70.4,72.0, 62.0, 57.0,55.5,42.8
Arequipa, 40.0, 28.5, 26.4, 22.9, 15.2, 17.6, 13.6, 11.5,11.9,9.1
Ayachucho,72.4, 78.6, 77.3, 67.6, 61.1,  58.8, 48.2, 52.7,52.6,51.9
Cajamarca, 77.7,75.4, 69.7, 68.4, 61.1, 62.1, 55.2, 55.8,54.2,52.9
Callao, 50.3, 42.9, 37.7, 28.0, 25.9, 15.9, 18.5, 15.8,NA
Cusco, 64.0, 60.9, 53.8, 54.4, 50.8, 40.4, 42.7, 29.7,21.9,18.8
Huancavelica, 92.8, 92.7, 89.1, 85.0, 79.5, 75.6, 63.0, 54.6,49.5,46.6
Huanuco, 84.9, 78.9, 76.7, 66.5, 62.2, 58.9, 54.7, 54.1,44.9,40.1
Ica, 43.1, 34.8, 28.8, 23.3, 20.5, 14.0, 12.4, 10.9,8.1,4.7
Junin, 56.2, 61.7, 49.5, 44.4, 36.8, 31.8, 28.5, 24.1,23.7,19.5
La Libertad, 58.9, 49.2, 49.7, 39.1, 38.6, 35.2, 31.4, 27.4,30.6,29.5
Lambayeque, 58.3, 56.9, 50.9, 50.0, 37.3, 37.1, 38.2, 30.4,25.2,24.7
Lima, 45.0, 42.6, 32.4, 25.6, 21.5, 17.0, 16.0, 15.8,14.4,13.1
Loreto, 74.6, 75.0, 69.9, 57.5, 53.0, 54.7, 49.8, 48.1,41.8,37.4
Madre de Dios, 29.2, 31.4, 20.3, 13.9, 11.8, 6.1, 5.0, 4.1,2.4,3.8
Moquegua, 50.8, 36.9, 35.0, 29.7, 28.8, 19.0, 14.3, 10.9,9.6,8.7
Pasco, 67.1, 71.0, 65.5, 59.6, 58.1, 47.3, 36.3, 40.7,41.9,46.6
Piura, 73.4, 70.1, 65.0, 54.2, 49.4, 42.4, 44.3,35.2,34.9,35.1
Puno, 79.3, 74.1, 71.3, 59.9, 54.1, 49.3, 48.6, 39.1,35.9,32.4
San Martin, 67.9, 67.9, 71.0, 56.1, 42.9, 48.3, 36.9, 31.0,29.6,30.0
Tacna, 43.3, 42.5, 31.5, 26.6, 21.1, 17.7, 14.2, 16.6,11.7,11.8
Tumbes, 36.0, 23.5, 20.3, 22.5, 21.0, 20.2, 19.7, 13.9,11.7,12.7
Ucayali, 60.7, 57.9, 59.2, 47.0, 36.1, 30.8, 21.7, 13.5,13.2,13.4
